100	0.76	0.0427083130081252	0.0253981633974483
250	0.756	0.0271635049284881	0.0293981633974483
500	0.804	0.017752971582245	0.0186018366025518
750	0.784	0.0150263768087986	0.00139816339744825
1000	0.782	0.0130566458173606	0.00339816339744825
1250	0.7744	0.0118221703591177	0.0109981633974483
1500	0.784666666666667	0.0106133528754706	0.000731496730781656
1750	0.781714285714286	0.00987455781938006	0.00368387768316258
2000	0.789	0.00912356838084748	0.00360183660255176
2500	0.7828	0.00824679719648786	0.00259816339744823
3250	0.793538461538462	0.00710005788920351	0.00814029814101325
5000	0.788	0.00578024220945801	0.00260183660255175
6250	0.77888	0.00524939532670192	0.00651816339744826
7500	0.791733333333333	0.00468887566085549	0.00633516993588501
8250	0.785818181818182	0.00451674281866451	0.000420018420733581
10000	0.7856	0.00410405458053374	0.000201836602551686
